一目瞭然	一目了然
重覆	重复
金吒	金吒
金鍊	金链
鈕釦	纽扣
鈞覆	钧复
鉅子	钜子
鉅萬	钜万
鉅防	钜防
鉸鍊	铰链
銀鍊	银链
錢鍾書	钱锺书
鍊墜	链坠
鍊子	链子
鍊形	链形
鍊條	链条
鍊錘	链锤
鍊鎖	链锁
鍛鍾	锻锺
鍾書	锺书
鍾淑敏	锺淑敏
鍾淑雲	锺淑云
鍾無艷	锺无艳
鍾無豔	锺无艳
鍾繇	锺繇
鍾萬梅	锺万梅
鍾葵	锺葵
鍾郁	锺郁
鍾重發	锺重发
鍾鍛	锺锻
鍾阿城	锺阿城
鍾離	锺离
鍾馗	锺馗
鎖鍊	锁链
鐵鍊	铁链
鑽石項鍊	钻石项链
開乾	開乾
雁杳魚沈	雁杳鱼沉
雖覆	虽覆 虽复
雖覆能復	虽覆能复
電覆	电复
露覆	露复
項鍊	项链
頗覆	颇复
頸鍊	颈链
顚乾	顚乾
顛乾	颠乾
顛乾倒坤	颠乾倒坤
顛倒乾坤	颠倒乾坤
顧藉	顾借
體乾	体乾
麼些族	麽些族
黃鍾	黄锺
黃鍾公	黄锺公
黃鐘	黄锺
黃鐘公	黄锺公
龍鍾	龙钟 龙锺
